Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Wheels,Black Ice,2008,208493,4,0.494,0.843,9,-3.079,1,0.0338,0.0000983,0.000275,0.255,0.689,132.385,37
"Back In Black - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,255053,4,0.324,0.95,8,-4.553,1,0.0774,0.000593,0.00000128,0.987,0.511,92.703,47
"Big Jack - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,247960,4,0.474,0.974,10,-4.566,0,0.0635,0.000912,0,0.989,0.421,130.935,42
"Black Ice - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,224067,4,0.319,0.958,1,-5.557,1,0.0513,0.000141,0.000457,0.994,0.528,92.956,40
"Dirty Deeds Done Dirt Cheap - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,298827,4,0.277,0.934,8,-4.788,1,0.118,0.000979,0.0000192,0.972,0.416,140.06,45
"Dog Eat Dog - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,309880,4,0.423,0.921,8,-6.108,1,0.117,0.00128,0.0135,0.921,0.183,138.441,38
"For Those About to Rock (We Salute You) - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,465427,4,0.225,0.953,3,-5.026,1,0.109,0.000331,0.00000696,0.984,0.395,126.714,40
"Hell Ain't a Bad Place to Be - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,267600,4,0.361,0.954,1,-4.608,1,0.0772,0.000918,0,0.977,0.375,129.602,44
"Hells Bells - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,337800,4,0.297,0.923,1,-5.054,1,0.0577,0.000227,0.00000771,0.954,0.247,117.026,45
"Highway to Hell - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,284253,4,0.3,0.973,1,-5.142,1,0.116,0.0167,0,0.959,0.227,124.496,48
"Let There Be Rock - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,1086853,4,0.249,0.99,1,-5.06,1,0.178,0.00166,0.42,0.556,0.0621,111.927,41
"Rock N Roll Train - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,281280,4,0.461,0.965,1,-5.087,1,0.067,0.000379,0.0000217,0.931,0.432,125.742,47
"Shoot to Thrill - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,355987,4,0.309,0.973,1,-5.045,1,0.124,0.000698,0.00000764,0.991,0.222,139.89,43
"Shot Down in Flames - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,227400,4,0.378,0.965,1,-4.126,1,0.0818,0.0000826,0.00000309,0.968,0.414,135.138,42
"T.N.T. - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,237333,4,0.322,0.97,8,-4.654,1,0.166,0.000956,0.0000597,0.977,0.284,130.349,45
"The Jack - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,612480,4,0.34,0.937,8,-6.017,1,0.116,0.00644,0.00148,0.965,0.263,73.837,41
"Thunderstruck - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,332493,4,0.315,0.982,3,-4.872,1,0.109,0.000842,0.0000348,0.982,0.327,130.095,51
"War Machine - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,219200,4,0.527,0.951,8,-5.805,1,0.085,0.000505,0.00000418,0.963,0.562,130.996,39
"Whole Lotta Rosie - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,357587,4,0.179,0.968,1,-4.46,1,0.0948,0.0000613,0.0000327,0.948,0.256,150.944,43
"You Shook Me All Night Long - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,2011,241653,4,0.404,0.966,6,-4.83,1,0.0863,0.00172,0,0.752,0.622,129.914,48
Baptism By Fire,Rock or Bust,2014,210200,4,0.457,0.93,9,-4.203,1,0.0588,0.00000467,0.197,0.174,0.674,150.188,42
Dogs of War,Rock or Bust,2014,215440,4,0.502,0.816,9,-4.562,1,0.0329,0.0000471,0.0217,0.302,0.475,99.372,42
Emission Control,Rock or Bust,2014,221360,4,0.409,0.858,5,-4.644,1,0.0393,0.000104,0.135,0.212,0.628,168.955,39
Got Some Rock & Roll Thunder,Rock or Bust,2014,202587,4,0.626,0.833,2,-4.352,1,0.0285,0.000157,0.000717,0.0608,0.863,107.572,39
Hard Times,Rock or Bust,2014,164227,4,0.57,0.758,9,-4.362,1,0.036,0.0000564,0.0304,0.448,0.451,93.095,43
Miss Adventure,Rock or Bust,2014,177253,4,0.51,0.896,9,-3.585,1,0.0624,0.0000109,0.000771,0.0826,0.652,120.134,39
Play Ball,Rock or Bust,2014,167133,4,0.52,0.872,0,-4.354,1,0.0383,0.00000671,0.246,0.207,0.449,120.006,53
Rock or Bust,Rock or Bust,2014,183053,4,0.572,0.825,8,-3.977,1,0.04,0.0000713,0.000134,0.134,0.56,98.057,62
Rock the Blues Away,Rock or Bust,2014,204373,4,0.537,0.88,5,-4.902,1,0.0353,0.000131,0.00531,0.135,0.37,120.976,51
Rock the House,Rock or Bust,2014,162840,4,0.448,0.94,11,-3.52,1,0.0516,0.0000494,0.0000313,0.0975,0.593,91.212,41
Sweet Candy,Rock or Bust,2014,189720,4,0.449,0.847,11,-4.31,1,0.0463,0.00000625,0.032,0.133,0.654,192.149,39
Code Red,POWER UP,2020,211147,4,0.549,0.731,2,-5.617,1,0.035,0.000123,0.0000128,0.0655,0.622,86.239,45
Demon Fire,POWER UP,2020,210360,4,0.521,0.881,9,-5.309,1,0.0387,0.00000493,0.0114,0.141,0.564,160.026,59
Kick You When You're Down,POWER UP,2020,190333,4,0.675,0.93,0,-4.515,1,0.0319,0.0000832,0.000454,0.315,0.778,110.013,53
Money Shot,POWER UP,2020,185320,4,0.628,0.83,7,-4.752,1,0.0626,0.00038,0.0000253,0.0982,0.767,120.004,43
No Man's Land,POWER UP,2020,219640,4,0.49,0.905,0,-4.488,1,0.03,0.000459,0.00934,0.202,0.537,94.988,43
Realize,POWER UP,2020,217467,4,0.455,0.79,7,-4.049,1,0.0432,0.00000378,0.00021,0.0866,0.22,125.964,53
Rejection,POWER UP,2020,246467,4,0.526,0.871,7,-4.132,1,0.032,0.0000174,0.000142,0.0573,0.745,109.82,47
Shot In The Dark,POWER UP,2020,185133,4,0.599,0.787,2,-4.708,1,0.0338,0.0000207,0.0000527,0.064,0.822,114.065,63
Systems Down,POWER UP,2020,192640,4,0.649,0.849,9,-4.502,1,0.0326,0.000019,0.0852,0.0949,0.864,116.009,43
Through The Mists Of Time,POWER UP,2020,212227,4,0.57,0.753,9,-5.98,1,0.0365,0.00000162,0.627,0.133,0.477,119.99,52
Wild Reputation,POWER UP,2020,174400,4,0.737,0.709,0,-5.744,1,0.0337,0.00012,0.00294,0.199,0.839,108.016,46
Witch's Spell,POWER UP,2020,222253,4,0.616,0.801,9,-4.39,1,0.0342,0.000165,0.0000397,0.11,0.4,120.029,52
